,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 - Population and basic demographics by parish and comparison geographies, New Orleans metro 2000-2018",,,,,,,,,,,,,,,,,,,,,,,
"Released July 28, 2020",,,,,,,,,,,,,,,,,,,,,,,
****Scroll down for data dictionary****,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,,,,,,,,,,,,,,,,,,,,,
South American,14%,,5%,n.s,7%,n.s,6%,,,,,,,,,,,,,,,,
Other,12%,,9%,,14%,,5%,,,,,,,,,,,,,,,,
n.s = Difference between indicated measure and the U.S. is not significant at 95% confidence interval.,,,,,,,,,,,,,,,,,,,,,,,
Source: The Data Center analysis of U.S. Census Bureau data from Census 2000 and American Community Survey 2018.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Orleans,,Jefferson,,St. Tammany,,New Orleans Metro,,,,,,,,,,,,,,,,
,2000,2019,2000,2019,2000,2019,2000,2019,,,,,,,,,,,,,,,
Population under 18 years,"129,408","77,280","115,255","115,255","54,399","54,399","358,092","358,092",,,,,,,,,,,,,,,
Source: The Data Center analysis of U.S. Census Bureau data from Census 2000 SF3 and Population Estimates 2019.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
